#	Sample ID	User name	Date and Time	Nucleic Acid Conc.	Unit	A260	A280	260/280	260/230	Sample Type	Factor
1	2	Jim He Lab	24/07/2018 4:03:41 PM	103.3	ng/µl	2.066	1.278	1.62	1.11	DNA	50.00
2	5	Jim He Lab	24/07/2018 4:04:34 PM	82.8	ng/µl	1.656	0.929	1.78	1.69	DNA	50.00
3	8	Jim He Lab	24/07/2018 4:05:20 PM	176.5	ng/µl	3.530	2.387	1.48	0.85	DNA	50.00
4	13	Jim He Lab	24/07/2018 4:06:07 PM	134.6	ng/µl	2.692	1.635	1.65	1.20	DNA	50.00
5	17	Jim He Lab	24/07/2018 4:06:50 PM	83.1	ng/µl	1.662	0.957	1.74	1.52	DNA	50.00
6	24	Jim He Lab	24/07/2018 4:07:38 PM	88.1	ng/µl	1.762	1.043	1.69	1.40	DNA	50.00
7	32	Jim He Lab	24/07/2018 4:08:18 PM	81.7	ng/µl	1.633	0.936	1.75	1.48	DNA	50.00
8	38	Jim He Lab	24/07/2018 4:09:10 PM	78.0	ng/µl	1.559	0.874	1.78	1.58	DNA	50.00
