2
24/07/2018 4:03:41 PM
Wavelength (nm)	Absorbance
220	2.270
221	2.199
222	2.143
223	2.095
224	2.040
225	1.993
226	1.949
227	1.919
228	1.901
229	1.884
230	1.870
231	1.858
232	1.849
233	1.837
234	1.825
235	1.815
236	1.817
237	1.824
238	1.838
239	1.857
240	1.877
241	1.895
242	1.918
243	1.944
244	1.962
245	1.977
246	1.994
247	2.014
248	2.033
249	2.053
250	2.065
251	2.071
252	2.093
253	2.114
254	2.121
255	2.123
256	2.123
257	2.102
258	2.089
259	2.079
260	2.066
261	2.049
262	2.028
263	1.999
264	1.968
265	1.935
266	1.892
267	1.853
268	1.809
269	1.768
270	1.732
271	1.697
272	1.655
273	1.610
274	1.568
275	1.525
276	1.476
277	1.426
278	1.376
279	1.325
280	1.278
281	1.236
282	1.186
283	1.135
284	1.088
285	1.047
286	1.005
287	0.956
288	0.902
289	0.854
290	0.813
291	0.766
292	0.719
293	0.671
294	0.623
295	0.582
296	0.551
297	0.525
298	0.497
299	0.477
300	0.455
301	0.436
302	0.420
303	0.402
304	0.380
305	0.361
306	0.348
307	0.332
308	0.319
309	0.306
310	0.298
311	0.289
312	0.281
313	0.270
314	0.261
315	0.251
316	0.242
317	0.234
318	0.223
319	0.219
320	0.213
321	0.201
322	0.187
323	0.175
324	0.165
325	0.156
326	0.148
327	0.136
328	0.125
329	0.111
330	0.100
331	0.088
332	0.073
333	0.060
334	0.048
335	0.038
336	0.030
337	0.024
338	0.015
339	0.010
340	0.000
341	-0.006
342	-0.019
343	-0.032
344	-0.043
345	-0.051
346	-0.059
347	-0.070
348	-0.078
349	-0.086
350	-0.090


5
24/07/2018 4:04:34 PM
Wavelength (nm)	Absorbance
220	1.313
221	1.254
222	1.205
223	1.163
224	1.117
225	1.079
226	1.033
227	1.004
228	0.996
229	0.990
230	0.982
231	0.979
232	0.978
233	0.980
234	0.994
235	1.016
236	1.038
237	1.064
238	1.103
239	1.145
240	1.188
241	1.228
242	1.262
243	1.301
244	1.343
245	1.379
246	1.410
247	1.448
248	1.486
249	1.519
250	1.547
251	1.568
252	1.601
253	1.636
254	1.659
255	1.672
256	1.686
257	1.674
258	1.663
259	1.664
260	1.656
261	1.643
262	1.629
263	1.607
264	1.580
265	1.552
266	1.520
267	1.483
268	1.441
269	1.397
270	1.360
271	1.325
272	1.288
273	1.250
274	1.206
275	1.165
276	1.124
277	1.082
278	1.035
279	0.981
280	0.929
281	0.881
282	0.833
283	0.781
284	0.732
285	0.687
286	0.643
287	0.596
288	0.551
289	0.507
290	0.466
291	0.421
292	0.379
293	0.337
294	0.298
295	0.262
296	0.232
297	0.207
298	0.186
299	0.170
300	0.153
301	0.140
302	0.131
303	0.123
304	0.115
305	0.111
306	0.105
307	0.100
308	0.094
309	0.089
310	0.083
311	0.075
312	0.071
313	0.066
314	0.062
315	0.058
316	0.058
317	0.057
318	0.056
319	0.058
320	0.057
321	0.052
322	0.047
323	0.042
324	0.038
325	0.032
326	0.031
327	0.029
328	0.028
329	0.026
330	0.028
331	0.025
332	0.022
333	0.021
334	0.014
335	0.009
336	0.006
337	0.006
338	0.002
339	0.003
340	0.000
341	0.000
342	-0.003
343	-0.005
344	-0.005
345	-0.006
346	-0.012
347	-0.013
348	-0.013
349	-0.014
350	-0.012


8
24/07/2018 4:05:20 PM
Wavelength (nm)	Absorbance
220	4.815
221	4.696
222	4.593
223	4.504
224	4.429
225	4.380
226	4.322
227	4.267
228	4.222
229	4.182
230	4.144
231	4.108
232	4.064
233	4.013
234	3.943
235	3.876
236	3.832
237	3.795
238	3.775
239	3.762
240	3.753
241	3.741
242	3.736
243	3.739
244	3.735
245	3.730
246	3.726
247	3.716
248	3.710
249	3.711
250	3.706
251	3.692
252	3.685
253	3.675
254	3.662
255	3.649
256	3.635
257	3.604
258	3.578
259	3.555
260	3.530
261	3.500
262	3.467
263	3.428
264	3.376
265	3.312
266	3.242
267	3.185
268	3.125
269	3.068
270	3.016
271	2.964
272	2.905
273	2.849
274	2.792
275	2.735
276	2.669
277	2.596
278	2.525
279	2.454
280	2.387
281	2.318
282	2.253
283	2.183
284	2.120
285	2.058
286	1.995
287	1.922
288	1.854
289	1.790
290	1.721
291	1.651
292	1.581
293	1.517
294	1.457
295	1.399
296	1.345
297	1.299
298	1.257
299	1.217
300	1.174
301	1.131
302	1.088
303	1.047
304	1.008
305	0.971
306	0.938
307	0.903
308	0.871
309	0.845
310	0.818
311	0.793
312	0.767
313	0.742
314	0.714
315	0.690
316	0.668
317	0.644
318	0.617
319	0.585
320	0.556
321	0.527
322	0.499
323	0.471
324	0.443
325	0.414
326	0.392
327	0.371
328	0.345
329	0.316
330	0.286
331	0.254
332	0.224
333	0.197
334	0.165
335	0.135
336	0.106
337	0.082
338	0.052
339	0.029
340	0.000
341	-0.024
342	-0.050
343	-0.075
344	-0.098
345	-0.118
346	-0.136
347	-0.159
348	-0.182
349	-0.203
350	-0.224


13
24/07/2018 4:06:07 PM
Wavelength (nm)	Absorbance
220	2.772
221	2.685
222	2.598
223	2.522
224	2.457
225	2.397
226	2.346
227	2.305
228	2.280
