,Cycle,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,J1
,1,23.9481262160048,33.6257217804919,24.586297704745,16.9131104986445,16.9261725129018,10.0269555940777,9.50358886473441,12.1188141395005,12.9825094741368,10.3739695586864,7.53067611999313,12.1219102002683,1.77161453449162,6.23942657153839,4.95972570731647,4.49537805370574,10.1679897808976,2.21896741719002,3.27258328424841,6.88095793531011,10.4651719878393,7.79944779947982,5.04285949090081,4.99419232731498,9.49092181553078,0.253457229176547,8.42243167430524,3.61139719247331,6.47746497507887,7.50568825988648,5.0723059853226,6.64974213590403,10.9132737984978,4.90531516582996,7.02815224016103,7.82912443508621,4.63804310780688,5.62001060915691,3.06703184277058,7.60984841866139,6.92847425871742,5.90321090144789,5.88816442431516,4.00602528603031,5.41616744844532,5.59768228682333,1.15158605036959,9.41971337371433,4.1355997147075,6.08161950907152,6.78109641988794,6.82991244722189,9.47078909248739,6.56646918021852,5.92123068307455,10.9457621622232,13.1833226831959,8.61490156950867,10.9011821967938,8.77958986757631,0.150442089448006
,2,24.252598549614,32.4920448202633,21.0711729014579,8.84568680864277,13.1601839894765,4.85732233860062,6.22753162132449,5.40175241369116,4.09620352839192,3.21554523534269,7.31670623347827,3.52490182233441,0.366817104096754,1.76867829373941,2.21964082537943,-0.218455922394241,4.93595373785274,-0.0603441962157376,2.04838887752157,1.42211872680627,2.64582054004541,7.04530355683028,4.58982195544058,0.969565878888261,2.39406975616021,-3.8174067007235,3.70541812985266,3.3866697802855,1.95100086263983,1.24939642420986,1.76166693102005,3.28980625517806,9.17191860147204,5.11386796977922,2.82950248192446,2.67133575232083,3.66025284895522,1.26097707842519,-0.496784480169936,3.14376343743061,-0.115578485394053,4.85694058423587,3.25327816841764,-0.039856611704181,1.50431977787412,3.40249929493257,0.125621800942554,4.3823101048788,2.1948149761065,5.76206491376843,1.81311443188815,2.61623396098503,6.20200832043247,2.21580220375517,1.95928383947694,4.68432609982892,4.93725396580066,2.40410155117388,7.55738880417312,8.25835960387622,-1.1172356669108
,3,32.7294776627018,36.3110349418325,28.0359107782174,3.93180335496254,6.64608489809871,5.43200549489757,5.68969884279841,3.63783567504834,3.56278322586695,3.2910502824152,4.02315809419179,3.1909718304646,3.53431582462326,0.859417596375806,2.08127036441647,2.97488671474275,4.10058480931684,3.03800224481165,1.12067866760617,-0.351598299325815,4.25908756833178,2.20541444660375,1.68792488982626,1.68018286339884,2.75189617850128,0.921342726336206,4.24278260326037,3.05558980523529,3.71245081242569,2.45253869463659,0.457107961913152,2.54658663934379,4.11033971698589,5.51580052198051,1.55454350920263,0.536807752660479,4.90781232489053,2.87514104711317,0.0532909459980146,1.15817948474933,1.80054484923903,2.91247829573558,1.77669851248584,3.71221344341438,4.128198225711,4.33281483742758,3.25397067831818,3.7038536620712,3.07407178578933,3.8343974694435,1.95045706767041,0.986567530509546,2.48477272482432,1.67224152636663,3.43586945312336,4.83226984635076,4.81357564753353,1.86629905941163,2.10787543059587,3.04934778594588,-1.77537106658565
,4,42.6431414547824,40.956867896984,32.3544573124855,4.84392791495748,2.47712188037212,2.17564153479407,2.47614776167984,1.37625497931049,2.62573881522485,2.12660233281031,4.64098287463958,-0.204037569517368,2.55110092136874,0.804760496024301,4.88318160598965,3.92908481158793,1.12659309614719,4.5481458333511,3.50112211678106,1.37253539410221,0.534273100113751,4.50404023736655,2.85066532403653,3.02582108709976,1.56277068042618,1.10708693880088,2.25128176103726,1.29732133481957,0.213926879479914,3.79173163197265,3.32002093337132,2.43252872616313,1.36318618532096,-0.0704797715311543,2.00243522976143,1.77696339517979,3.23317427831989,1.2084229654829,1.86927490101925,3.22339461789625,1.90974902403514,1.7652794558503,3.20684203337714,-1.52404492175401,1.91007330284947,3.10989961457699,-1.34563542762135,1.72435087174335,3.00993796794728,3.88637908817373,2.06374099614823,1.19376779033246,1.96023026413286,3.15125289706521,1.40548410309066,3.55357310592399,1.11188851549059,3.8981862223427,0.29937225122012,2.81176236099418,-0.100552908978898
,5,54.3498970187316,52.5676148865841,45.7211665519931,1.09279318061772,-0.447587966852552,-0.9155769668223,2.74395222673775,3.36326110459413,3.57812581401595,3.69404935234979,2.72693221813915,1.25681345602834,1.2296699158851,-0.396948906894067,0.39838534622595,-0.466796469736892,3.49496833224657,-1.56298791566951,-0.57527100337893,1.73538770784717,3.43020872931993,0.787972937604536,2.85643028927689,2.97932746603738,-0.590143762833577,1.19576673873462,3.36015495730271,4.13759533876055,0.342040469113272,1.32887883202784,3.48581658008925,3.28590895766956,1.79684980802767,0.362345258096866,2.43864861841621,4.31187361297953,0.0766322966442203,2.82972234459157,0.709991029737466,2.52575531373259,0.499782015172514,2.13932572293197,1.18081504784959,2.88185372217913,3.179579487296,2.66822857651323,-0.523890481625585,2.19396792719408,2.9226753278067,-0.0850513145987861,4.54582603789322,3.27480877682228,2.38939192207772,2.36925034121668,1.83279301583525,-0.378502405988002,3.24591156511497,3.87539929997502,4.43910778870531,2.44851876545181,-0.554395261932768
,6,81.3764394911036,69.3217640522766,65.8928522054794,-1.89091097820847,-1.95172370082355,-1.50323065272278,0.767926367408563,0.969098516459781,1.47669673715791,0.828570310567557,1.16858116909498,3.28566279932602,-0.234481570810203,2.56330813639261,-1.53112380175116,1.35570500069161,1.90878507202706,-0.411335381330446,1.85617382138435,3.44028054478576,0.494676833826816,0.167031455466258,1.0485375787971,1.84369509006592,1.14755930462343,2.56062229004829,1.72144905937739,-0.553895298858606,3.97153176737038,2.29285400704748,-0.0432772780945925,-0.246592941249219,1.71462185257406,2.2577789855618,2.86584249413727,3.63925428002176,-1.10278097030869,2.58888657874741,3.60951577963306,2.18794049711869,6.94638281266862,-1.44777226299675,2.87295867157991,1.64916071870948,0.992394051072097,3.04908800478006,3.72494089641032,1.76891575995023,0.95495097112007,0.546398692984894,2.0195088516457,2.20309051598724,4.18911118573669,1.56504073498854,2.98352826062364,0.551504711580037,2.1674498747243,-1.43362340662497,4.48575857741935,0.16387654445407,3.66521933499143
,7,121.403446320213,96.659977635954,102.113133059941,0.500650603172289,2.24601670893389,2.16716153705147,-2.06964571167282,1.03192777090089,0.148830043297949,-0.113830975040855,0.117107671118902,3.65588086995467,1.61338567938037,4.11534288956091,0.63365737364029,0.143160365040785,-0.146424819664844,2.2004459266609,0.884910074300478,2.71678262567866,4.37603209386043,-1.21529262894319,0.0881682156700663,0.428461482455077,3.47504686793127,2.41964188955762,0.449532693886795,2.43853751871484,-0.184979714169458,3.21823479056502,4.19786558153919,2.29155026106946,-1.2688057910409,2.31956248239203,1.91908121505548,2.48325758119199,-1.43348682578971,3.60133489223153,0.384953619050975,-0.962943205247939,0.384963857570256,2.82367427677536,1.51675642711189,-0.152271331920929,3.7071379536942,2.49950603426532,3.12244930476754,-0.574486238677309,-1.52691892644043,-1.9388768265535,-0.0779064577077406,4.05553920010607,2.00177942887149,1.67487574361348,-0.235262556448561,1.37473412757981,-2.28447752739157,0.311156356845913,1.28481468367318,-0.271966211769723,3.92416856125146
,8,190.931264270976,143.555643836327,167.05360247992,7.13451057380144,7.08557514775111,5.55462423072004,-4.29955642673394,-1.0180934043542,-2.653068104471,3.87882623737687,0.25471152871205,-1.6181833059668,1.4701969814696,3.59510106701646,1.75601614506786,1.69191226855401,0.252385292385497,-0.153741976813308,1.33007605353487,3.74995872304908,-1.7745373858761,1.26988460170787,1.7584115106215,0.584146743582551,0.0341721694362604,1.34637950317574,0.432151345678449,0.86127988684666,-1.04313100939635,-1.42537223845738,0.102010898062872,0.365767855284957,1.95482265774581,0.512609900800726,-0.129673994846598,-1.69761399684694,1.6779426307171,2.09424906296817,1.64984660593154,-0.835139125251771,1.53041898080937,1.10846241390573,0.338135325914209,3.16546037638591,1.60737172443942,-0.799128257093798,1.9886795290513,0.732514648184406,1.09407903816145,2.62823812992883,1.44812915902958,-0.522762636481275,0.735957164702086,2.04086042081326,0.0325574849844088,-1.54474817930759,0.33682151605035,-0.963712111271434,1.82037872669025,-0.337762585757446,-0.924046199341774
,9,310.453785641987,224.687417426649,271.085694749794,22.6533670229983,15.9017821364196,16.8140950316456,-1.57278094955882,-1.30094746784152,0.124978356006068,0.731576078708258,-2.62804670061951,3.92308298998341,3.02830958772665,2.54033983065392,1.18839606274196,0.358030854567005,-1.39086065185893,3.32897759687421,3.02835784890613,0.882791936069225,-0.3019492979397,-0.811352998789516,1.44116753938579,-1.57384768187785,-0.123084657411709,2.08013946548681,-2.63285986137407,0.840555853061232,1.19862279011977,-0.354819657642111,2.96631315391778,1.2814323143989,-1.31084449157561,-1.53728689838363,4.36474427202938,1.15449844615478,2.30098546302588,0.893060624124246,2.6966863947041,5.03068011236974,0.71452726787129,-1.07199545416688,-1.89833362906393,2.47806595955399,1.2313917276183,3.10997003008697,3.45581074335405,-2.14302819095383,2.86468894043901,-0.501301949704157,0.523772880150773,2.65085732422813,1.09628601080931,0.51901281884966,1.91698555709536,0.383985747425413,-0.954712381543686,1.41717130006464,-1.89199648450676,1.88484258341896,-0.300712365210074
,10,499.530894936455,360.68736756523,444.580155310463,50.9396628250433,33.1746489844395,37.1284429010616,1.41964409618868,-0.269847197242598,-2.50572209481288,-3.0716252086454,0.227610019569056,-0.506011234211655,-0.441250561385004,0.255175806581065,0.708076252321007,-4.10453193255535,0.378821664258339,0.665287621554853,-0.830648849439513,-0.337132345087866,-0.378880502700667,-2.32398351362008,1.86594773078377,-1.8222717510198,1.70767866176948,-0.435916061946045,-2.30884019131599,3.68545480992816,1.67331416200432,-1.38603542149303,-0.0144478111315038,-1.67312258568063,-0.637411921581133,1.59737548336398,1.55174817565239,1.65329383869675,2.87659497243021,1.83043770957966,1.67631454336743,0.610646632900625,0.270752958551384,2.90290463007977,2.44564487831894,-0.881532085762501,1.03595436552405,2.84469430289755,0.159652904016184,0.0355793834833094,-1.38233054795774,-2.39357506611123,3.98777652914669,3.49183505729934,2.61593189378846,-2.65168725175272,0.322524903061094,1.07288352090563,0.198320010105363,-1.30288091964712,-2.60206395514115,-1.67725480016088,2.76221834199396
,11,780.097029207311,578.24340927518,706.729654403111,103.853756797462,70.4945944803089,77.9924008096423,1.07682939821416,1.50095704837895,1.83753834882646,-0.339552960810579,-0.796323936185672,-4.42254035665565,0.457226575435925,-2.52170984970689,-0.274083340463221,1.150351666799,4.10409472434412,-0.464981023863402,0.703933579151908,-0.922528921381399,0.684012623201852,0.597709696435231,-0.128443331013386,4.66070369260979,1.27093726492421,1.80648489793566,1.72179032438271,-4.00565344807728,-1.34968288544314,-0.252613104851662,-0.938624784687818,3.16094624989682,2.1034126856639,3.56462638406629,1.37425262502302,-0.485317360612953,1.2480052394767,3.5006202282193,2.53322368137606,2.57485986072561,4.27641022996067,0.398271592180663,-0.680085450917886,-1.56249445301046,0.0140491680540435,-3.32641895802089,0.535868408748229,2.38057342707862,6.27662925333789,-6.59496933751461,2.66130191996035,1.54474810916008,3.50283796346775,3.03867920232233,0.141902618716358,-2.35314010386764,0.855893273984293,-1.24072541309215,1.41752557455357,0.359015926063876,3.0513013317136
,12,1142.10276751131,884.772830935677,1056.76918343434,193.956674767125,140.636083605546,145.698227123125,8.54178793869687,6.5437008032518,8.31763834809863,-5.27095249335207,-0.684780645644423,0.661963223171824,0.949969719170895,1.45284027643902,1.36683466426757,1.70082049382518,4.5715124762105,-4.11479822808951,1.45105253061092,-2.35690015728687,1.6700283839441,-0.520046546814228,2.42366102194501,-0.98624051545994,-0.510359548004089,1.56326929850729,-2.02198134710625,1.96659204213302,0.573335695184596,0.36233351339024,-3.26281240588787,0.844807945773937,1.39518098278768,0.166643701306384,2.26385798956244,1.72950620177699,3.41599467338847,4.33876791587227,-0.826004699272289,1.76476434904453,3.1682741388654,1.62056567461968,3.40857079736452,1.84546078608537,3.2422442789175,4.86624525703564,2.89779698946268,5.55132208396071,1.99718050895854,-2.98597577818509,5.45708004479002,-0.696014787801232,10.091966123874,1.52362316308472,0.575650351473541,2.69331044129376,7.45525477985348,-0.790758496028502,0.584330781616245,-2.52964584227993,-1.4055110133686
,13,1509.37118496654,1270.97289400134,1448.43586419982,345.069911325862,256.348006649535,271.432867659788,16.9181231295238,17.3292736614712,19.9477321934078,-0.534975502787802,-5.04407150506313,-3.05268690524736,1.24368138769069,-1.92700907620338,2.33251758043343,-0.121012571678875,6.94555991145444,-0.726285392735463,0.402739817981001,-3.0597923905525,3.25154486702831,-0.563809022783971,-0.937726930656027,5.74785497879702,3.789330306794,6.35780128515125,-1.57483686026353,1.91462557469822,5.08252431388837,1.12504360678031,1.46319636220733,4.66437633542409,1.25990052184079,0.300117560248509,6.91997193562975,4.51322409507156,9.85097045812745,7.76101534131931,1.42650897462909,6.35843375171771,9.86542382992775,3.11174498812625,2.41610522571273,1.16692297164673,5.43950475583915,6.48419152578481,0.582812319672485,10.0125564381287,7.40135290009675,-0.868576858812958,12.8762562047691,-0.353417200019521,21.1328682371936,4.49055177653509,4.09912758733253,6.69486074907945,12.6410027581628,3.07611415788915,7.16334918141547,3.17240240632736,4.68393624316923
,14,1837.45876972095,1647.44171063294,1808.17631952589,594.097562425473,453.187915803524,476.104083648434,36.6597542208538,37.4167052400062,41.139022517164,2.08713159175159,0.791285019017323,-1.58377565867568,4.88630969415044,2.53415021984756,3.01181510474862,3.20201681277831,16.5148978735629,0.984230809320252,3.20347613472359,1.94905105074076,4.23284095653617,4.89873775826754,2.32365242817468,10.1009761086352,10.3240426279594,11.6121881206645,-0.699549073241997,5.16286688012087,9.24229913999443,7.56486624664285,2.71593090571605,9.98477327638875,4.39841100093236,5.12641467791309,12.3782156539719,6.63193895772656,18.3841400614037,18.789278852063,4.49185048218897,10.3727892751017,15.4513674426053,12.3708985022008,2.5710044430366,3.89125817514832,9.60791457109008,11.8864662956189,1.58941036443639,20.0902850874509,16.1130782873693,1.7607552849222,29.1431772252263,0.885921588860128,38.3749984917017,11.6493536868311,3.00019173050487,17.3712819259877,28.7971393316311,5.64434375053952,14.7248514927505,1.12364025270017,1.77330787652681
