,Cycle,A4,A5,A6,A7,A8,A9,A10,A11,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6
,8,157.534445059146,119.992565667516,175.344437039157,5.29871914504383,1.73584154959462,2.35366639957601,2.33608888456001,-3.45720862638473,1.89485018949154,3.06988695705786,1.1200584854796,6.2255873112349,2.12260974448236,3.29408169600219,2.04250196026715,0.858314847905604,1.33832459647829,-2.57795544473311,2.34768452126309,5.48880973592895,6.63100554261837,2.95399962121155,-1.95499746469659,5.93490747855776,-0.877787237398479,1.76711360251466,0.435225354628074,0.762299366452226,-1.99681855144627,1.44272213475915,-1.43904297970857,-0.510467518609858,5.64706855262693,2.91576757640132,-0.310710101985933,1.29779487471251,1.39043089219558,1.35713607965681,0.306890512443715,3.97247774075777,1.53202552311996,4.71059903781224,1.61174540081538,6.39554380111031,4.42997644594107,4.30299024029682,3.08270899001218,1.14920225964443,-1.4270262982086,2.41613991356326,3.76725457765269,-0.70587126903547,4.54025460347248,0.984964487563047,5.18156793931485,4.00070655313993,0.115100304331008,1.28394437831776,3.59449037240347,6.61518702173134,1.91255004791128,1.85145209935399
,9,251.022652557188,198.173897940354,281.55422977776,9.51769338602571,10.102617406706,10.7218550870957,4.64261940883716,-2.15646809770078,-0.739394585739319,0.705028943615616,4.78521014735406,-0.50113555092139,-0.135992813258326,2.90098297847135,3.18381410873189,0.792972015125997,1.46111092670481,0.292815328547476,2.66280775645964,7.68399588160082,4.32995530031667,1.21047833154626,0.735180825969564,1.6249179738038,-2.08488518435433,1.66085566316406,1.79808318521873,-0.503278010455688,-0.883385887769691,3.79401821366173,0.0917571716513521,3.72323569003947,3.47201402148085,1.11383514476574,2.02541491640204,0.181251300771692,2.43825308484429,7.56980752903655,4.8646277639391,1.24553512796183,3.96566827631432,0.0940973134224805,0.409694088140441,0.0455272811127543,0.764456435343618,2.44511467980647,5.24756205558879,0.630230788941844,0.0418659533615937,3.96032865162442,4.58590260246638,1.66632865903375,1.86183769523859,6.15868890379124,-1.26732680393025,-2.24413691218297,2.06940871302913,1.37595212816404,1.26012651149131,0.483079354556594,2.05325236098952,5.10624315389805
,10,411.90468234566,328.899245569619,462.938399209209,25.9320843603755,16.9595819640135,33.5180227155843,-1.04593181436667,2.97750744449104,3.34743252881844,3.52463590173465,2.22720122902456,1.01666618225727,2.69925169099088,3.69030182293591,1.23875820806506,5.67775429098219,2.7512118339987,6.1040398288269,3.92284193582282,12.7550826735282,2.25374465622735,2.13068510954281,1.44272694995198,2.14715285662987,-0.234115876316991,0.727100307640285,-0.226512345771425,-2.22779125197076,-0.503909572320026,-3.87137506657655,1.74021444753544,-0.892435883385133,0.797830198095653,3.95948093013112,3.15305754396513,4.49958993237124,4.62732502573135,-2.03619255864396,0.821458695089859,3.25825022092477,-3.47365637627991,-0.25483678249384,2.88424521947172,3.06983606772656,3.29725015877784,-2.5251937586454,2.60601196588141,3.89163388449651,3.63686872843846,3.35014966857125,1.99127603340094,-1.65846348590867,2.66149205815782,1.47235653037933,-1.16469284303821,3.19707600931633,2.23864174177106,2.14929937551869,1.97315525473459,0.626992714836888,-1.61248472101897,0.20737111921062
,11,598.102806424856,489.299603817247,658.821190575648,68.156989384755,35.3040717352897,61.566375151282,-0.800958732852905,5.45944755251548,-4.95920106978292,-1.83451067208125,6.85114883733831,1.3403577199465,3.65758492305667,1.68288889375526,3.07529485631085,4.60075506451312,5.23664091943738,-0.923978035978507,-1.5910562218528,6.65288377661545,-2.4747450185605,2.02851724648008,3.48907960890119,2.65550273718281,2.44512523401681,-1.0207546548445,1.35972350384554,-0.198969142180431,0.60952309135655,0.567299687386821,1.94511868007703,0.451725273266675,5.33166773018183,2.49882723857718,1.45912155170981,2.17456396760599,4.55850071978284,3.88806059790431,0.612742622404312,6.4911403382057,3.12183311088666,2.82241433161744,2.83757225383988,5.34581631077799,5.19839807705057,1.45886268988488,0.581979082532143,4.5151301446881,3.49120317182815,2.68832822092281,0.0392571133975252,3.64103595647975,1.96546372007742,1.17124890996547,2.82403657861187,0.878521432384332,3.98223915106018,4.07802496991599,1.74005507115635,-1.15886564431685,5.6046968207329,-0.346469590111155
,12,815.586438988412,666.627160216163,861.399313798421,139.107771743459,64.5180823211149,114.92611234477,8.59593602237101,12.4045633034916,-3.07740975481056,-0.261143567107865,-2.44181697305203,-0.175104552226003,0.0859970626461291,4.73010398505585,-0.575667551702736,-1.84413732144185,1.65773436295376,1.9728575661311,-2.47004318214476,7.94335240575356,2.81345466579296,-0.189286489251572,-2.51129194422492,1.53638419340632,-2.33309785897518,-0.798888066793552,1.68486011191817,-1.09622856405394,2.05132387896629,1.02779949183332,1.70399766415994,2.02048243159925,3.20825566363101,3.47974157831413,2.48201767089677,0.322602466251738,0.236237384166088,1.79019279202021,1.70288325358388,3.37005853807796,-0.57584882389574,0.0967088816846626,-1.41089727686585,2.50115387341793,0.86444918509369,-2.39479924996931,3.62572843234466,-0.389066079012537,-0.292332980342053,1.23798480208006,3.5618266335041,2.33760782666741,-0.884688742587514,-0.100590886911959,1.36521677510518,1.10749937777518,0.461715523116254,2.35694373872911,0.128198521509603,-1.2256632834451,-2.10498627419156,3.49904305236851
,13,1027.01312500482,842.129853801708,1041.30014275311,255.471037413885,130.308599245799,216.992001547085,18.6481054462738,29.9449101749901,-1.09087193146252,1.66641289409517,2.18237423179244,1.97336859998995,1.56928081924843,-0.927115769708962,2.11394414848155,0.611013153147724,-1.23983269602195,0.983110514418968,-2.23384522302695,0.147914021112229,3.47989736544378,1.78179572394265,2.042643405945,0.92906196148715,-0.0611501486532688,0.591267484448508,4.74095743023781,2.53521512389261,4.22854259398991,5.59801637259488,-0.336327330516269,2.72203593918994,3.72518639775399,0.258859352977197,0.458739168584088,-3.16949447904972,0.587373497846784,5.87772810401839,-1.91910741298034,3.63667369606173,4.12860079228267,1.2831637213385,-0.236420832055501,-1.49888691098522,3.02795056736886,0.840928654998606,5.49997083630888,-0.343137194076917,-0.0448337357447599,-0.789925992019562,-0.450775343138048,1.94011519604373,0.690333378847299,1.63379410660855,3.64682170675405,0.929183923154596,2.53368105633945,-0.295894223943378,-6.24889336966271,0.50649945965597,1.92205509617588,1.43563463977353
,14,1207.57052780969,986.946773562481,1197.41182167291,425.962507881374,232.505835727159,387.568034743051,42.2878457788238,65.7873952181908,4.66410422811941,1.82204818802256,1.80357988075093,-2.246989553601,-2.08123231724085,-1.8838968602231,-1.19695750210576,5.22028775232184,-1.93138956928806,3.3033531273968,1.48188558643096,3.43295104695881,4.88273237863223,0.694767085612511,1.1356317217469,-2.10667408904374,4.23240517332988,-0.670612398476806,-0.290106487681442,0.0482447400113415,-0.657320110449746,1.64747019174592,1.15452298974151,3.21287844737162,3.97854568521916,-1.79251592651235,1.28529648369795,0.688690305287309,-1.05678957477357,1.70563583575313,-0.28988765845952,-1.49286150304761,1.04746167773374,1.51179700067814,-2.47521898112427,-2.49172851886578,0.492962057641762,1.87137716385041,-0.0949435965458179,1.17216596649951,-2.01649888953762,3.32737290413115,2.92709783749115,0.860065085257247,0.387469841973598,0.886661237736917,2.26570919667029,-1.4551417171765,4.22563600103376,-0.309850965128589,1.09312777460991,-0.414347617534986,1.39335414177049,-0.495988049493008
,15,1358.54459349074,1106.16713822638,1314.00248058466,600.799578066133,405.653485051962,582.921976293682,85.8313714751089,125.718897626085,3.60446742996737,0.729251260024284,-4.78449004822141,-1.83170572021527,-1.33336648805243,1.84563211470959,-0.673406156529381,4.06436324977358,1.94497570877456,2.86535221864324,-3.11414084203125,3.94805191758223,-2.60375722135541,3.67653130637154,2.47263128211034,-3.1468673567415,-0.782350151367154,-0.343999302049724,1.70342276194697,0.214527772953261,0.325544812553289,1.92429821173755,3.99855204030155,-0.260081798627652,-2.45019147212679,0.317711931439135,-1.36767905152738,-1.67506750792336,-1.46689262080372,7.13100329659392,2.5865463353316,-2.19697852152694,3.07405462744691,2.05466980514666,0.419536166367834,-3.72207674457559,3.48371725955803,-2.46801625903299,-3.62854418316783,0.1413981839396,1.3302790203411,-3.49281244644681,-0.600503445716186,-2.43890582738777,-5.42798319386293,-1.34421810211052,2.00099958865167,2.35762839386871,1.32165519332329,2.89312808349223,-0.715311175641091,0.228451438453249,-0.368432453101377,-2.03347155142774
,16,1467.57312288963,1193.46775023776,1407.9200675682,778.1141061711,595.005906415631,797.614396858191,173.500216412743,232.284519949205,5.90621916456894,5.99140063555842,1.45401536827285,-0.326814603185539,-0.886829567843961,0.100572649531841,-0.438273103784468,-2.85359359959193,-0.373805992289817,-3.83429752222855,-2.89060990253074,-3.53217255580648,0.6501678317195,0.842184750407341,2.99674921816904,2.24559297251744,1.86985174401343,-2.39293957698374,-2.34375476682908,3.097642917337,4.7867246032406,-0.0955018635527267,2.83736692639195,-5.37463906776111,4.66991043072858,4.02958698142265,-0.370604164637825,0.332514429589992,-0.827338214291558,2.5657462271206,5.10757299023726,4.97511110029382,2.61912971476841,-0.342667520852956,0.66103789703584,-0.842464297440074,-1.13840632869824,3.28771776024269,3.22164456173005,2.44522331571079,-3.17576444309452,-1.54157390490445,0.309980471325161,0.641672813142122,4.56110670855696,-1.57931106259457,-0.141352081142941,-1.91651913479382,-1.84467907839053,-0.836406546675789,2.63562440296619,-0.0748784323800464,1.42653390272744,-0.57764087911255
,17,1549.66241867138,1257.78533256801,1469.8221050057,923.0185455403,793.496539304606,992.881497926397,290.708063905539,407.591324496559,16.8208134495394,8.90381787202978,5.70988861808291,-3.77180499826136,0.911668100011866,0.784170599496065,-5.54716075047691,1.83363188953626,-0.0946306890923552,1.43809145124078,1.3495842384018,5.18872106170511,2.14362075447934,0.16123152943328,-0.338676284640769,1.11356381259247,0.29541022814783,-0.701455116761281,-0.980896936237968,-3.86638811176954,-0.164178375004667,-3.33766933194147,-2.28786453823022,-1.14093585911132,-1.86357323499351,-0.213913481503823,-2.48571855917817,-0.298054064791359,-0.331505761132576,-0.200550460122486,-3.54225007838659,-2.14996688164865,1.15352279452372,-0.981237892256559,-2.14266060767068,-4.72362997466234,-0.431612202446559,0.891006672941785,-4.52641960958363,4.95951585035891,-1.07620077248657,0.276904527184342,-1.6551926613588,3.15856908068918,-0.151828427487544,-2.34057253027049,-3.29462935503398,-2.67240196467083,1.26500767735024,2.19483694751398,-3.83330338043424,5.20258822446021,2.47341531152551,-5.24022427862565
