Sample name,sample ID,TOC mg/L,TC mg/L,IC mg/L
1400m_SP1_HWC_diluted1to20,60,37.92,38.27,0.3436
1100m_SP4_HWC_diluted1to20,61,28.96,29.35,0.3984
800m_SP2_HWC_diluted1to20,62,19.02,19.38,0.3563
200m_SP2_HWC_diluted1to20,63,21.02,21.47,0.4445
500m_SP3_HWC_diluted1to20,64,18.36,18.94,0.5824
800m_SPX_HWC_diluted1to20,65,19.5,20.01,0.5107
500m_SP1_HWC_diluted1to20,66,20.83,21.46,0.6274
1300m_SP1_HWC_diluted1to20,67,42.37,42.67,0.2988
500m_SP4_HWC_diluted1to20,68,24.42,24.82,0.3945
1000m_SP2_HWC_diluted1to20,69,43.64,44.24,0.6021
1400m_SP3_HWC_diluted1to20,70,39.71,40.28,0.5719
900m_SP1_HWC_diluted1to20,71,46.13,46.72,0.5933
1000m_SP1_HWC_diluted1to20,72,46,46.6,0.6058
summit_SP3_HWC_diluted1to20,73,26.8,27.68,0.8758
800m_SP2_HWC_diluted1to20,74,44.88,45.44,0.5546
300m_SP3_HWC_diluted1to20,75,9.655,10.07,0.4151
200m_SP1_HWC_diluted1to20,76,16.4,17.02,0.6238
500m_SP2_HWC_diluted1to20,77,20.7,21.11,0.4083
600m_SP1_HWC_diluted1to20,78,14.94,15.41,0.4707
200m_SPx_HWC_diluted1to20,79,19.31,19.77,0.4658
200m_SP2_HWC_diluted1to20,80,17.08,17.49,0.4006
1000m_SP3_HWC_diluted1to20,81,65.82,66.24,0.4198
300m_SP2_HWC_diluted1to20,82,13.82,14.28,0.454
600m_SP4_HWC_diluted1to20,83,19.69,20.12,0.4275
800m_SP3_HWC_diluted1to20,84,21,21.51,0.5041
1200m_SP4_HWC_diluted1to20,85,31.84,32.66,0.8233
1300m_SP3_HWC_diluted1to20,86,29.87,30.37,0.4969
600m_SP2_HWC_diluted1to20,87,23.6,24.04,0.4337
1300m_SP4_HWC_diluted1to20,88,45.92,46.43,0.5072
300m_SP4_HWC_diluted1to20,89,11.24,11.67,0.4291
900m_SP2_HWC_diluted1to20,90,30.01,30.42,0.4101
1200m_SP2_HWC_diluted1to20,91,27.67,28.19,0.521
1100m_SP2_HWC_diluted1to20,92,37.27,37.47,0.1977
1400m_SP2_HWC_diluted1to20,93,40.49,40.97,0.4793
1300m_SP2_HWC_diluted1to20,94,26.65,27.16,0.512
1200m_SP3_HWC_diluted1to20,95,30.64,31.02,0.383
900m_SP4_HWC_diluted1to20,96,72.26,72.84,0.5816
600m_SP3_HWC_diluted1to20,97,17.55,17.97,0.4242
